# path	code	count
# regenerated W-47
web/app/services/billing.py	F401	1
web/app/services/branding.py	RUF046	1
web/app/services/branding.py	RUF059	1
web/app/services/cabinet_zakon.py	F401	1
web/app/services/calendar_mail.py	DTZ011	1
web/app/services/calendar_svc.py	DTZ011	4
web/app/services/cms.py	RUF046	1
web/app/services/cms.py	UP035	1
web/app/services/dadata.py	FURB188	1
web/app/services/dashboard.py	DTZ011	3
web/app/services/form_assist.py	BLE001	1
web/app/services/form_assist.py	DTZ011	2
web/app/services/form_assist.py	I001	1
web/app/services/global_search.py	BLE001	2
web/app/services/global_search.py	S110	2
web/app/services/hostland.py	DTZ011	2
web/app/services/hostland.py	F401	2
web/app/services/jobs.py	F401	1
web/app/services/jobs.py	I001	1
web/app/services/jobs.py	SIM115	1
web/app/services/journal.py	DTZ007	1
web/app/services/landing_demo.py	BLE001	1
web/app/services/landing_demo.py	I001	1
web/app/services/leads.py	F401	1
web/app/services/leads.py	I001	1
web/app/services/leads.py	SIM102	1
web/app/services/legal_admin.py	I001	1
web/app/services/legal_admin.py	S110	2
web/app/services/legal_bootstrap.py	BLE001	1
web/app/services/legal_bootstrap.py	FURB167	1
web/app/services/legal_bootstrap.py	I001	1
web/app/services/legal_monitor.py	DTZ011	2
web/app/services/legal_monitor.py	F401	1
web/app/services/legal_monitor.py	SIM103	1
web/app/services/legal_public.py	FURB167	1
web/app/services/legal_search.py	BLE001	3
web/app/services/legal_search.py	F401	1
web/app/services/legal_search.py	FURB167	2
web/app/services/legal_search.py	ISC004	1
web/app/services/legal_search.py	S112	1
web/app/services/legal_search.py	SIM102	1
web/app/services/ops.py	BLE001	4
web/app/services/ops.py	I001	1
web/app/services/ops.py	PIE810	1
web/app/services/ops.py	RUF046	1
web/app/services/ops_agent_client.py	BLE001	1
web/app/services/ops_agent_client.py	S110	1
web/app/services/org_fields.py	BLE001	1
web/app/services/org_fields.py	F401	1
web/app/services/org_fields.py	I001	1
web/app/services/org_templates.py	BLE001	1
web/app/services/org_templates.py	I001	1
web/app/services/package_generate.py	F401	2
web/app/services/package_generate.py	I001	2
web/app/services/package_master.py	BLE001	2
web/app/services/package_master.py	DTZ011	1
web/app/services/package_master.py	F841	1
web/app/services/package_master.py	I001	1
web/app/services/package_master.py	S112	1
web/app/services/party_check.py	BLE001	1
web/app/services/party_check.py	F841	1
web/app/services/party_check.py	I001	1
web/app/services/party_check.py	SIM102	1
web/app/services/public_catalog.py	BLE001	1
web/app/services/retention.py	I001	1
web/app/services/search.py	I001	1
web/app/services/settings_svc.py	I001	1
web/app/services/settings_svc.py	SIM102	1
web/app/services/sources/html_page_loader.py	SIM102	1
web/app/services/sources/http_client.py	PYI034	1
web/app/services/sources/http_client.py	PYI036	1
web/app/services/sources/ips_loader.py	F401	1
web/app/services/sources/ips_loader.py	FURB167	10
web/app/services/sources/publication_api.py	PYI034	1
web/app/services/sources/publication_api.py	PYI036	1
web/app/services/sources/publication_api.py	TRY004	2
web/app/services/staff.py	I001	1
web/app/services/template_admin.py	BLE001	1
web/app/services/template_admin.py	I001	2
web/app/services/templates.py	DTZ011	1
web/app/services/templates.py	I001	1
web/app/static_assets.py	BLE001	1
web/app/static_assets.py	FURB188	1
web/app/yandex_oauth.py	I001	1
web/app/routers/cp_import.py	B008	17
